price,rating,review_count,review_sentiment,review_subjectivity,title_length,word_count,brand_CHERRY,brand_CLAVIER,brand_CORSAIR,brand_GLORIOUS,brand_LOGITECH,brand_MARS,brand_OTHER,brand_RAZER,brand_STEELSERIES,brand_THE,brand_TRUST,is_mechanical,is_wireless,is_rgb,is_azerty,price_log,is_successful
43.67,5.0,1,0.3,0.0,56,7,False,False,False,False,True,False,False,False,False,False,False,0,1,0,0,3.7993021353640275,0
16.99,4.7,7,0.0,0.0,128,18,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,2.8898160479624417,0
39.64,4.4,1905,0.4025,1.0,191,31,False,False,False,False,False,False,False,False,False,True,False,1,0,0,1,3.7047528032702264,1
24.9,4.2,839,0.20666666666666667,0.0,183,26,False,False,False,False,False,False,False,False,False,True,False,0,0,1,1,3.254242968705492,1
24.95,4.275574712643678,0,0.0,0.0,143,19,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,3.2561716096118976,0
39.64,4.4,1905,0.4025,1.0,191,31,False,False,False,False,False,False,False,False,False,True,False,1,0,0,1,3.7047528032702264,1
26.24,4.5,1880,0.625,0.0,71,10,False,False,False,False,False,False,True,False,False,False,False,0,0,0,0,3.3046864812813115,1
28.83,4.275574712643678,0,0.0,0.0,102,16,False,True,False,False,False,False,False,False,False,False,False,1,0,1,1,3.395514598526657,0
39.95,4.4,1142,0.20333333333333328,1.0,172,28,False,False,False,False,False,False,False,True,False,False,False,1,0,1,1,3.7123518102990785,1
116.29,4.275574712643678,0,0.0,0.0,145,28,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,4.764649500533414,0
39.99,4.5,78,0.4391666666666667,0.0,190,29,False,False,False,False,False,False,False,False,False,True,False,1,0,0,1,3.7133281345162463,1
227.41,4.275574712643678,0,0.0,0.0,136,23,False,False,False,False,False,False,True,False,False,False,False,1,0,1,0,5.431142259660542,0
17.75,3.5,25,0.5,0.0,181,33,False,False,False,False,False,False,False,False,False,True,False,0,1,1,1,2.9311937524164198,0
13.9,4.5,2069,0.14283950617283953,0.0,175,24,False,False,False,False,True,False,False,False,False,False,False,1,0,1,1,2.7013612129514133,1
164.58,4.275574712643678,0,0.0,0.0,127,21,False,False,False,False,False,False,True,False,False,False,False,1,0,0,0,5.10945446171066,0
39.99,3.8,6,0.31875,0.0,178,27,False,False,False,True,False,False,False,False,False,False,False,1,0,1,0,3.7133281345162463,0
41.66,4.275574712643678,0,0.0,0.0,106,15,False,True,False,False,False,False,False,False,False,False,False,1,0,1,0,3.753261713043204,0
21.44,3.6,27,-0.17,1.0,189,21,False,False,False,False,False,True,False,False,False,False,False,1,0,1,1,3.110845080654496,0
258.99,4.6,4815,0.11466666666666668,0.0,154,30,False,False,False,False,True,False,False,False,False,False,False,0,0,0,0,5.5606431687374025,1
289.0,4.275574712643678,0,0.0,0.0,145,20,False,False,False,False,False,False,True,False,False,False,False,0,0,1,0,5.66988092298052,0
54.99,4.6,3365,0.30199999999999994,0.5447619047619047,199,35,False,False,False,False,False,False,False,False,True,False,False,1,0,1,0,4.025173103360802,1
110.71,4.275574712643678,0,0.0,0.0,55,12,False,False,False,False,True,False,False,False,False,False,False,0,0,1,0,4.715906227582757,0
129.9,4.6,8,0.33333333333333337,0.0,152,26,False,False,False,False,False,False,True,False,False,False,False,1,0,1,1,4.874433672915854,0
68.68,4.2,273,0.20800000000000002,1.0,155,17,False,False,False,False,False,False,True,False,False,False,False,0,0,1,1,4.243913332544247,1
227.41,4.2,515,0.26,0.0,177,30,False,False,False,False,False,False,False,False,True,False,False,0,1,1,1,5.431142259660542,1
16.99,4.2,436,0.3475,0.6666666666666666,187,27,False,False,False,False,False,False,False,False,False,False,True,0,0,1,1,2.8898160479624417,1
34.99,4.5,1251,0.23882352941176468,0.8333333333333333,188,27,False,False,False,False,False,False,False,False,True,False,False,1,0,0,0,3.5832411220909393,1
49.3,4.2,15,0.0,0.0,196,26,False,False,True,False,False,False,False,False,False,False,False,0,0,1,0,3.9180050771056933,0
84.57,4.5,50,0.1888888888888889,0.75,197,31,False,False,False,False,False,False,True,False,False,False,False,1,1,1,1,4.449334754429963,1
145.93,4.0,25,0.162,0.875,50,8,False,True,False,False,False,False,False,False,False,False,False,0,0,0,0,4.989956282887855,0
120.19,4.3,253,0.0,0.34431818181818186,190,33,False,False,True,False,False,False,False,False,False,False,False,1,1,0,0,4.797359561980396,1
